% Model:              B0-sweep_MappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 14:12
% Dimension:          2
% Nodes:              1421
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, z-coordinate
% Length unit:        mm
% r                       z                        ec.Jr (A/m^2)            v (m/s)                  z (mm)
0.10991685937013973       0.5                      19.019956178304824       -5.6611436733956695E-5   0.5
0.10996886437138437       0.5                      19.009783025281195       -5.686392484659659E-5    0.5
0.11002086937262902       0.5                      18.999610056342704       -5.711641295923653E-5    0.5
0.11007313511392164       0.5                      18.98938207440824        -5.7369305124381476E-5   0.5
0.11012540085521426       0.5                      18.97915425692986        -5.7622197289526457E-5   0.5
0.11017792864384018       0.5                      18.968870952611496       -5.7875488806614526E-5   0.5
0.11023045643246612       0.5                      18.9585878091915         -5.812878032370264E-5    0.5
0.11028324758226503       0.5                      18.948248685584986       -5.838246642515787E-5    0.5
0.11033603873206393       0.5                      18.937909746902847       -5.863615252661312E-5    0.49999999999999994
0.11038909456346277       0.5                      18.927514305665454       -5.8890228377373247E-5   0.49999999999999994
0.1104421503948616        0.5                      18.917119039393583       -5.914430422813344E-5    0.5
0.11049547223490759       0.5                      18.90666680551135        -5.939876492517749E-5    0.5
0.1105487940749536        0.5                      18.89621471486771        -5.965322562222158E-5    0.5
0.11060238325734748       0.5                      18.88570512221918        -5.9908066194097305E-5   0.5
0.11065597243974132       0.5                      18.87519571253108        -6.016290676597314E-5    0.5
0.11070983030487067       0.5                      18.864628308258034       -6.041812217232571E-5    0.5
0.11076368816999997       0.5                      18.854061052225347       -6.0673337578678234E-5   0.5
0.11081781606497262       0.5                      18.843435280923586       -6.092892270977794E-5    0.5
0.1108719439599453        0.5                      18.832809682341917       -6.118450784087763E-5    0.5
0.11092634323862331       0.5                      18.822125045662006       -6.144045751714946E-5    0.5
0.11098074251730132       0.5                      18.81144052471052        -6.16964071934214E-5     0.5
0.11103541454033455       0.5                      18.80069646299603        -6.1952716164974E-5      0.5
0.11109008656336779       0.5                      18.789952549037025       -6.220902513652665E-5    0.5
0.11114503269822822       0.5                      18.77914853829543        -6.246568808268347E-5    0.5
0.1111999788330886        0.5                      18.7683446759022         -6.272235102884033E-5    0.5
0.11125520045410414       0.5                      18.757480168765824       -6.297936255766902E-5    0.5
0.1113104220751197        0.5                      18.74661582559088        -6.323637408649772E-5    0.5
0.11136592056350895       0.5                      18.735690263169317       -6.349372873434316E-5    0.5
0.11142141905189823       0.5                      18.72476487178676        -6.37510833821887E-5     0.5
0.11147719579580487       0.5                      18.713777739177885       -6.400877561320531E-5    0.5
0.11153297253971153       0.5                      18.702790767137913       -6.426646784422194E-5    0.5
0.111589028934239         0.5                      18.691741468118607       -6.452449204990704E-5    0.5
