% Model:              Height_Sweep_HighdefMappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 22:47
% Dimension:          2
% Nodes:              28470
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, 
% Length unit:        mm
% r                       z                        height                   ec.Jr (A/m^2)            v (m/s)                  height (mm)
0.164359872685352         0.25                     5.0E-4                   13.023268778736565       -1.5945691086945943E-4   0.5
0.16467925448693843       0.25                     5.0E-4                   12.889446777344347       -1.5945581657667116E-4   0.5
0.16500005547967123       0.25                     5.0E-4                   12.756566820947455       -1.5944772925801824E-4   0.5
0.16532085647240408       0.25                     5.0E-4                   12.62368548157815        -1.594396419393653E-4    0.5
0.16564308296253955       0.25                     5.0E-4                   12.491783768886535       -1.5942465894750943E-4   0.5
0.16596530945267496       0.25                     5.0E-4                   12.359880760187707       -1.5940967595565352E-4   0.5
0.1662889677744916        0.25                     5.0E-4                   12.228994369441807       -1.593878957125116E-4    0.5
0.16661262609630823       0.25                     5.0E-4                   12.098106773200243       -1.5936611546936967E-4   0.5
0.16693772261223136       0.25                     5.0E-4                   11.96827215171561        -1.59337637417312E-4     0.5
0.1672628191281545        0.25                     5.0E-4                   11.83843641722126        -1.5930915936525429E-4   0.5
0.1675893602288811        0.25                     5.0E-4                   11.70968934101711        -1.5927408391725557E-4   0.5
0.16791590132960776       0.25                     5.0E-4                   11.58094124436866        -1.5923900846925675E-4   0.5
0.16824389343423243       0.25                     5.0E-4                   11.453316780183968       -1.5919743695805077E-4   0.5
0.16857188553885707       0.25                     5.0E-4                   11.325691393698321       -1.5915586544684474E-4   0.5
0.16890133509499777       0.25                     5.0E-4                   11.199223863422958       -1.5910790007313508E-4   0.5
